               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04536,             0.05239,            0.019736,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0008,              0.0008,              0.0928
                   1,            0.038352,            0.050356,            0.017336,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015317,           0.0015317,            0.084532
                   2,            0.035838,            0.048574,            0.017154,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020852,           0.0020852,            0.076085
                   3,            0.033854,            0.050044,            0.016307,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024605,           0.0024605,            0.067461
                   4,            0.033735,            0.049939,            0.016904,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026576,           0.0026576,            0.058658
                   5,            0.033015,            0.048464,            0.016205,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026765,           0.0026765,            0.049677
                   6,            0.033988,            0.046889,            0.018407,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025172,           0.0025172,            0.040517
                   7,            0.033638,            0.041903,            0.015751,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021797,           0.0021797,             0.03118
                   8,            0.035173,            0.042227,            0.016358,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001664,            0.001664,            0.021664
                   9,            0.030627,            0.043939,            0.015171,             0.95218,             0.98823,              0.9875,             0.76281,            0.024256,            0.034774,            0.010997,           0.0009701,           0.0009701,             0.01197
                   0,            0.034914,            0.041571,            0.017028,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000756,            0.000756,            0.096372
                   1,            0.030862,            0.040815,            0.015501,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014477,           0.0014477,             0.08771
                   2,            0.028623,             0.03647,            0.014988,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019711,           0.0019711,            0.078879
                   3,            0.027496,            0.037551,            0.013989,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023264,           0.0023264,            0.069881
                   4,            0.028428,            0.040166,            0.015053,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025135,           0.0025135,            0.060714
                   5,            0.029061,            0.038338,            0.013902,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025323,           0.0025323,            0.051379
                   6,            0.031415,            0.040042,            0.016099,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002383,            0.002383,            0.041876
                   7,            0.029319,            0.035666,            0.014528,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020655,           0.0020655,            0.032205
                   8,            0.030915,            0.036653,            0.015048,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015799,           0.0015799,            0.022366
