   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.95218,             0.98823,              0.9875,             0.76281,            0.024256,            0.034774,            0.010997,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.96155,             0.95883,             0.98467,             0.76991,            0.021704,            0.029967,            0.010386,             0.00945,             0.01122,             0.94615,              0.0005,                   3,                 0.8,             0.10393,                0.05,             0.53754,                   1,              1.1657,              0.7833,                 0.2,              3.2033,                   0,               0.015,             0.63351,             0.39797,                   0,              0.1224,             0.41106,                   0,                   0,                   0,                 0.5,             0.98535,                   0,                   0,              3.3275
             0.95456,             0.97084,              0.9853,             0.77343,            0.020683,            0.030714,            0.010631,             0.00968,             0.01122,             0.94615,             0.00052,              2.9141,             0.79084,             0.10559,             0.04771,             0.53754,              1.0371,               1.183,             0.79556,                 0.2,              3.2403,                   0,             0.01524,              0.6467,             0.39682,                   0,             0.11545,             0.36505,                   0,                   0,                   0,                 0.5,             0.96383,                   0,                   0,              3.1267
             0.24605,             0.42898,             0.46762,             0.24685,            0.045117,            0.077697,            0.048952,             0.01153,             0.01289,             0.94615,             0.00047,                   3,             0.83611,             0.10355,             0.04811,             0.59248,              1.2048,              1.0921,              0.7258,                 0.2,              3.2033,                   0,             0.01615,             0.48165,             0.39797,                   0,             0.13469,             0.41106,                   0,                   0,                   0,                 0.5,             0.98203,                   0,                   0,              4.2302
             0.95477,              0.9792,              0.9867,              0.7515,            0.025809,            0.029587,            0.011452,             0.01043,             0.01017,              0.9722,             0.00059,              3.6994,                 0.8,             0.09006,             0.04946,             0.36788,               1.082,              0.7914,             0.84858,                 0.2,              4.7317,                   0,             0.01593,              0.5037,             0.31236,                   0,             0.10545,             0.50981,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.4972
             0.94341,             0.95459,             0.98024,             0.77334,            0.022599,            0.023763,           0.0075495,             0.00738,                0.01,                0.98,             0.00064,              3.6676,                 0.8,             0.11549,             0.05051,             0.34441,              1.0981,             0.77903,             0.81519,                 0.2,              3.4002,                   0,               0.017,             0.42044,             0.31409,                   0,             0.07924,             0.46107,                   0,                   0,                   0,                 0.5,              0.9244,                   0,                   0,              3.4423
             0.67332,             0.63967,             0.60158,             0.27187,            0.034891,            0.066652,             0.02847,             0.00953,                0.01,             0.87145,             0.00057,                   3,                0.95,             0.11251,             0.04302,             0.48217,              1.0223,               1.177,              1.0265,                 0.2,              3.8265,                   0,             0.01409,             0.55429,             0.38563,                   0,             0.08836,             0.55994,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.95429,               0.978,             0.98757,             0.76498,            0.020454,            0.035007,            0.013701,             0.00785,             0.01046,                0.98,             0.00045,                   3,             0.82594,                 0.1,             0.04041,             0.49874,              1.2689,             0.94257,                   1,                 0.2,              4.3082,                   0,              0.0147,             0.71999,                 0.4,                   0,             0.12206,              0.4307,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.93551,              0.9892,             0.98756,             0.75431,            0.020547,            0.027089,            0.016568,              0.0113,             0.01264,             0.97449,             0.00035,                   3,             0.81562,             0.10379,             0.03771,             0.49874,              1.4025,               0.655,                   1,                 0.2,              4.7998,                   0,             0.01223,             0.75457,              0.4744,                   0,             0.11756,             0.47757,                   0,                   0,                   0,                 0.5,             0.96576,                   0,                   0,              3.2952
             0.30372,             0.41111,             0.38384,              0.2002,            0.061695,            0.090001,            0.025416,             0.00786,                0.01,             0.91504,             0.00045,                   3,             0.73733,             0.08342,             0.05182,             0.33592,             0.73188,             0.85904,                   1,                 0.2,              3.8512,                   0,             0.01325,             0.88674,              0.5027,                   0,             0.14278,             0.40233,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.6537
