   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.91035,             0.30513,             0.37919,             0.19528,            0.045617,            0.050093,            0.040803,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.88301,             0.32431,             0.36904,             0.18178,            0.042236,            0.047686,            0.042018,             0.00952,                0.01,             0.91633,              0.0005,                   3,                 0.8,             0.10338,             0.04487,             0.51238,             0.97164,             0.94917,             0.97535,                 0.2,              3.9099,                   0,             0.01474,              0.6466,             0.40556,                   0,             0.10126,             0.54499,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6264
             0.65317,             0.32821,              0.3943,             0.19592,            0.045105,            0.052095,            0.041242,             0.00987,                0.01,               0.937,             0.00046,              2.9778,              0.8784,             0.10009,             0.04974,             0.55121,              1.0292,              1.0537,              1.0393,                 0.2,              4.2076,                   0,             0.01501,             0.72694,             0.43079,                   0,                 0.1,             0.44916,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.88922,             0.32282,             0.37682,             0.18564,            0.049381,            0.051842,             0.04607,             0.00897,             0.01017,             0.94207,             0.00051,              2.8928,             0.75225,                 0.1,                0.05,             0.52536,              1.0715,              1.0021,             0.99987,                 0.2,              3.9291,                   0,               0.015,             0.67927,             0.41379,                   0,             0.10118,             0.52805,                   0,                   0,                   0,                 0.5,             0.95918,                   0,                   0,              2.8641
             0.66533,             0.31338,             0.36507,             0.17102,            0.049073,            0.062584,            0.042237,             0.00892,                0.01,             0.94631,             0.00053,              2.8744,             0.68957,             0.09268,                0.05,             0.45793,              1.0096,              1.2284,             0.99987,                 0.2,              3.9291,                   0,             0.01341,             0.67927,             0.35769,                   0,             0.09852,             0.53324,                   0,                   0,                   0,                 0.5,              0.9149,                   0,                   0,              3.0186
             0.95317,             0.13837,             0.17799,            0.085472,            0.038997,            0.054257,            0.028073,              0.0077,                0.01,              0.8022,             0.00056,              3.2054,                 0.8,             0.07529,             0.03977,              0.3929,             0.60948,             0.88979,              1.2126,                 0.2,              3.9099,                   0,              0.0171,              0.6466,             0.40556,                   0,             0.10126,             0.67862,                   0,                   0,                   0,                 0.5,             0.99813,                   0,                   0,              2.3664
              0.8824,             0.33328,              0.3722,             0.17647,            0.042056,            0.047147,            0.040558,             0.00982,                0.01,             0.92125,             0.00049,              3.0031,                 0.8,              0.1063,             0.04487,             0.49599,             0.96515,             0.93718,             0.97672,                 0.2,              3.9527,                   0,               0.015,              0.6466,              0.4018,                   0,              0.1005,             0.54971,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6733
             0.95916,             0.16487,             0.21948,             0.11217,            0.044432,             0.04605,            0.038144,              0.0095,                0.01,             0.90745,              0.0005,              2.6721,             0.82435,             0.10353,             0.04487,             0.55664,               0.945,             0.97001,             0.93593,                 0.2,                4.18,                   0,             0.01529,              0.6466,              0.3963,                   0,             0.08827,             0.54011,                   0,                   0,                   0,                 0.5,             0.93103,                   0,                   0,              2.3816
             0.84264,             0.37564,             0.41541,             0.18101,            0.041594,            0.046196,              0.0398,             0.01092,                0.01,             0.91633,             0.00038,                   3,                0.95,              0.1242,             0.04712,             0.65457,             0.97164,             0.94917,              1.1436,                 0.2,                3.53,                   0,              0.0127,             0.81036,             0.45268,                   0,             0.12944,             0.55458,                   0,                   0,                   0,                 0.5,             0.92177,                   0,                   0,              3.2103
             0.85377,             0.34309,             0.40934,             0.15917,            0.044716,            0.045944,            0.038831,             0.01157,                0.01,             0.91633,             0.00037,                   3,                0.95,             0.12325,             0.04454,              0.6299,             0.97164,              0.9798,              1.1076,                 0.2,              3.9611,                   0,             0.01219,                 0.9,             0.45268,                   0,             0.12944,             0.51449,                   0,                   0,                   0,                 0.5,             0.86522,                   0,                   0,              3.2103
             0.87908,             0.37222,             0.41329,              0.2176,            0.056866,            0.041328,            0.040747,             0.00961,             0.01029,             0.91633,             0.00034,              2.9974,             0.85494,             0.13827,             0.05762,             0.67509,             0.88688,             0.91732,              1.1038,                 0.2,              2.3298,                   0,              0.0127,             0.62891,             0.40556,                   0,             0.12102,             0.50253,                   0,                   0,                   0,                 0.5,             0.92177,                   0,                   0,              3.0961
               0.943,             0.15439,             0.20435,            0.099452,            0.046608,            0.067277,            0.042861,             0.01119,                0.01,               0.937,             0.00056,              3.5408,                 0.8,                 0.1,             0.04864,             0.52658,               1.006,               1.157,              1.1152,                 0.2,                   4,                   0,             0.00983,             0.73485,             0.31588,                   0,              0.0899,                 0.5,                   0,                   0,                   0,                 0.5,             0.96494,                   0,                   0,               3.734
              0.9154,             0.18462,             0.17732,            0.085586,            0.038539,            0.041612,            0.042053,             0.01057,                0.01,              0.8192,              0.0005,              2.2945,             0.81266,             0.08894,             0.03885,                 0.5,                   1,             0.72223,                   1,                 0.2,              3.4487,                   0,             0.01406,                 0.7,             0.45518,                   0,                 0.1,              0.3702,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.0356
             0.87434,             0.33846,             0.39311,             0.19516,            0.044936,            0.050752,            0.040564,             0.00923,                0.01,             0.95791,              0.0005,              3.0915,             0.88242,             0.11622,                0.05,             0.51319,              1.0872,                   1,              1.0821,                 0.2,              3.9942,                   0,             0.01392,             0.73956,             0.44419,                   0,                 0.1,              0.5628,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
