               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098239,            0.057547,            0.059766,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0007,              0.0007,              0.0937
                   1,            0.089218,            0.059315,            0.059117,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014851,           0.0014851,            0.086485
                   2,            0.083539,            0.065556,            0.057992,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022545,           0.0022545,            0.079254
                   3,             0.07627,            0.071932,            0.056508,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030079,           0.0030079,            0.072008
                   4,            0.068731,            0.064674,            0.054711,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037456,           0.0037456,            0.064746
                   5,            0.060623,            0.074941,            0.052688,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0044673,           0.0044673,            0.057467
                   6,            0.057833,            0.069686,             0.05055,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051733,           0.0051733,            0.050173
                   7,            0.057533,            0.066638,            0.047994,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058634,           0.0058634,            0.042863
                   8,            0.055052,            0.067787,            0.045825,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065377,           0.0065377,            0.035538
                   9,             0.06774,            0.053894,            0.043246,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071961,           0.0071961,            0.028196
                  10,             0.05874,            0.060139,            0.041352,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078387,           0.0078387,            0.020839
                  11,            0.054905,            0.058766,             0.03974,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084655,           0.0084655,            0.013465
                  12,            0.053454,            0.054181,            0.037425,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  13,            0.061558,            0.046317,             0.03638,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.06304,            0.045757,            0.034012,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.058195,            0.046816,            0.032102,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.063579,            0.040424,             0.03367,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.059322,            0.040955,            0.032433,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.056017,            0.044099,            0.031084,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.05926,            0.040933,             0.03178,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
