               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031773,            0.032167,           0.0059378,             0.85481,             0.70421,             0.71759,             0.40578,            0.036566,            0.038501,           0.0043618,           0.0093369,           0.0093369,           0.0093369
                  37,            0.030725,            0.032715,           0.0055799,             0.84943,             0.72753,             0.71384,             0.46259,            0.034344,            0.040509,            0.004441,           0.0092995,           0.0092995,           0.0092995
                  38,            0.031595,            0.032654,           0.0054197,             0.83626,             0.72658,              0.6989,             0.40198,            0.038274,            0.037449,           0.0036983,           0.0092611,           0.0092611,           0.0092611
                  39,            0.029181,            0.032254,           0.0055528,             0.88055,             0.70041,             0.71261,             0.48191,            0.033252,            0.035069,           0.0033319,           0.0092219,           0.0092219,           0.0092219
                  40,            0.030439,            0.031713,           0.0055469,             0.70236,             0.75605,             0.75798,             0.50021,            0.030446,            0.033036,           0.0030093,           0.0091817,           0.0091817,           0.0091817
                  41,            0.030058,            0.031915,           0.0052161,             0.87781,             0.73696,              0.7617,             0.51203,            0.033234,            0.033477,           0.0029699,           0.0091406,           0.0091406,           0.0091406
                  42,            0.028552,            0.031407,           0.0053138,             0.87153,             0.73953,             0.74473,             0.49317,            0.031577,            0.036374,           0.0035306,           0.0090986,           0.0090986,           0.0090986
                  43,            0.027539,            0.031159,           0.0050796,             0.85385,             0.71858,             0.75537,             0.52431,            0.029467,            0.033818,           0.0030094,           0.0090557,           0.0090557,           0.0090557
                  44,            0.030765,            0.032683,           0.0052384,             0.68248,             0.80065,             0.77558,             0.46103,            0.036077,            0.031858,           0.0030279,           0.0090119,           0.0090119,           0.0090119
                  45,            0.028415,            0.031508,           0.0051637,             0.66591,             0.78132,              0.7526,             0.50742,            0.031268,            0.036198,           0.0030926,           0.0089673,           0.0089673,           0.0089673
                  46,            0.031081,            0.032072,           0.0049436,             0.85935,             0.69062,             0.71981,             0.45063,            0.036659,            0.037298,           0.0033399,           0.0089218,           0.0089218,           0.0089218
                  47,            0.027907,            0.030889,           0.0047683,              0.8534,             0.71178,             0.72389,             0.50081,            0.031913,            0.038203,           0.0035035,           0.0088755,           0.0088755,           0.0088755
                  48,            0.029131,            0.030333,             0.00473,             0.77936,             0.73092,             0.74342,              0.4595,            0.038064,            0.039689,            0.003195,           0.0088283,           0.0088283,           0.0088283
                  49,            0.026787,            0.030017,           0.0047649,              0.8438,             0.74268,             0.75805,             0.51164,            0.031297,            0.038682,           0.0032287,           0.0087804,           0.0087804,           0.0087804
                  50,            0.028833,            0.031072,           0.0047208,             0.81157,             0.77841,             0.76051,              0.4798,            0.035852,            0.038137,           0.0032594,           0.0087316,           0.0087316,           0.0087316
                  51,            0.025623,            0.029958,           0.0047312,             0.90976,             0.69354,             0.74041,             0.51414,             0.03028,            0.039989,           0.0037978,            0.008682,            0.008682,            0.008682
                  52,              0.0269,            0.030281,           0.0049912,             0.87605,             0.73603,             0.75231,             0.50819,            0.033504,            0.036183,           0.0033392,           0.0086316,           0.0086316,           0.0086316
                  53,            0.025831,            0.028929,           0.0050213,             0.92504,             0.65713,             0.75381,             0.51057,            0.031853,            0.037108,           0.0027223,           0.0085805,           0.0085805,           0.0085805
                  54,            0.026486,            0.029447,           0.0046027,             0.84163,             0.75898,             0.76525,             0.49814,            0.033177,             0.03761,           0.0027695,           0.0085286,           0.0085286,           0.0085286
                  55,            0.024845,            0.029233,            0.004567,             0.82719,             0.77495,             0.73543,             0.48458,            0.033175,            0.038751,           0.0028909,           0.0084759,           0.0084759,           0.0084759
                  56,            0.025386,             0.03012,            0.004324,             0.83802,              0.7445,             0.72432,             0.49012,            0.031702,            0.040821,            0.003113,           0.0084225,           0.0084225,           0.0084225
                  57,            0.025094,            0.028313,            0.004492,             0.85597,             0.75937,             0.74687,             0.51475,            0.032341,            0.037271,           0.0028176,           0.0083684,           0.0083684,           0.0083684
                  58,             0.02657,            0.029331,           0.0045419,             0.83506,             0.76651,             0.75493,             0.52561,            0.031118,            0.036769,           0.0029055,           0.0083136,           0.0083136,           0.0083136
                  59,            0.023907,            0.029091,           0.0044607,             0.86562,             0.72152,              0.7284,             0.49841,            0.031651,            0.039451,           0.0034432,           0.0082581,           0.0082581,           0.0082581
                  60,             0.02529,            0.028005,           0.0046106,              0.8493,             0.73104,             0.73819,             0.53036,            0.029993,             0.04049,           0.0034652,           0.0082019,           0.0082019,           0.0082019
                  61,             0.02659,            0.029587,           0.0043098,             0.87733,             0.69363,             0.73907,             0.51751,             0.03183,            0.039278,            0.003502,            0.008145,            0.008145,            0.008145
                  62,            0.026139,             0.02821,           0.0044716,             0.87147,             0.71021,              0.7298,             0.52331,             0.03169,            0.041056,           0.0034851,           0.0080875,           0.0080875,           0.0080875
                  63,            0.026361,            0.029384,           0.0044938,             0.82671,             0.75708,             0.72691,             0.47481,            0.033832,            0.037054,           0.0031396,           0.0080294,           0.0080294,           0.0080294
                  64,            0.025577,            0.028907,           0.0042403,             0.80362,             0.75035,             0.72277,             0.49303,             0.03185,            0.041686,           0.0033095,           0.0079706,           0.0079706,           0.0079706
                  65,            0.025465,            0.027974,           0.0044941,             0.87252,             0.70004,             0.72792,             0.48851,            0.036002,            0.039343,           0.0032542,           0.0079112,           0.0079112,           0.0079112
                  66,            0.024328,            0.027721,           0.0040608,             0.85284,             0.74113,             0.77337,             0.55808,            0.029813,            0.036475,           0.0031236,           0.0078512,           0.0078512,           0.0078512
                  67,            0.025326,            0.028121,           0.0042448,             0.87768,             0.71831,             0.73141,             0.50506,            0.033004,            0.037338,           0.0032604,           0.0077907,           0.0077907,           0.0077907
