               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045358,            0.052383,            0.019736,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0008,              0.0008,              0.0928
                   1,            0.038345,            0.050355,            0.017337,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015317,           0.0015317,            0.084532
                   2,            0.035839,            0.048578,            0.017153,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020852,           0.0020852,            0.076085
                   3,            0.033868,            0.050047,            0.016307,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024605,           0.0024605,            0.067461
                   4,            0.033684,            0.049929,            0.016903,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026576,           0.0026576,            0.058658
                   5,            0.032958,            0.048463,            0.016205,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026765,           0.0026765,            0.049677
                   6,            0.033956,            0.046886,            0.018408,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025172,           0.0025172,            0.040517
                   7,            0.033725,            0.041935,            0.015751,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021797,           0.0021797,             0.03118
                   8,            0.035269,            0.042262,            0.016359,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001664,            0.001664,            0.021664
                   9,            0.030851,            0.043956,            0.015176,              0.9516,             0.98786,              0.9875,             0.75827,             0.02443,            0.034828,            0.011001,           0.0009701,           0.0009701,             0.01197
                   0,              0.0893,            0.056385,            0.046808,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0008,              0.0008,             0.07762
                   1,            0.078471,            0.063153,            0.046006,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015317,           0.0015317,            0.070837
                   2,            0.066968,            0.072251,            0.044783,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020852,           0.0020852,            0.063875
                   3,            0.058532,            0.072827,             0.04268,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024605,           0.0024605,            0.056736
                   4,            0.052862,             0.07091,            0.040361,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026576,           0.0026576,            0.049418
                   5,            0.050642,            0.071309,             0.03899,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026765,           0.0026765,            0.041922
                   6,            0.048108,            0.065219,            0.036949,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025172,           0.0025172,            0.034247
                   7,            0.050807,            0.062072,            0.035442,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021797,           0.0021797,            0.026395
                   8,            0.046091,             0.06335,            0.034115,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001664,            0.001664,            0.018364
                   9,             0.04198,            0.060022,             0.03357,             0.58392,             0.40978,             0.43894,             0.21595,            0.037488,            0.058737,            0.031001,           0.0009701,           0.0009701,            0.010155
                   0,            0.048291,            0.059116,            0.019461,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0008704,           0.0008704,             0.09287
                   1,            0.041219,            0.056163,            0.017198,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016665,           0.0016665,            0.084666
                   2,            0.038526,            0.054453,            0.016911,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022687,           0.0022687,            0.076269
                   3,            0.036059,            0.055332,            0.016177,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002677,            0.002677,            0.067677
                   4,            0.036191,            0.055228,             0.01672,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028915,           0.0028915,            0.058891
                   5,             0.03547,            0.053827,            0.016181,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002912,            0.002912,            0.049912
                   6,            0.036645,            0.052323,            0.018247,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027387,           0.0027387,            0.040739
                   7,            0.037063,            0.047152,            0.015483,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023715,           0.0023715,            0.031372
                   8,            0.040446,            0.047322,            0.016186,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018104,           0.0018104,             0.02181
                   9,            0.034272,            0.048988,            0.015033,             0.93711,             0.98925,             0.98478,             0.75374,            0.026956,             0.03856,            0.011189,           0.0010555,           0.0010555,            0.012055
                   0,            0.049682,             0.06385,            0.019886,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0008528,           0.0008528,              0.0884
                   1,            0.041496,            0.060414,             0.01725,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016328,           0.0016328,            0.080616
                   2,            0.039962,            0.055763,             0.01735,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022228,           0.0022228,            0.072641
                   3,            0.037182,            0.055514,            0.016102,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026229,           0.0026229,            0.064477
                   4,            0.036839,            0.056876,            0.018171,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028331,           0.0028331,            0.056123
                   5,            0.034551,            0.053842,            0.015239,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028532,           0.0028532,            0.047578
                   6,            0.036161,             0.05779,            0.018597,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026835,           0.0026835,            0.038844
                   7,            0.035846,             0.05374,            0.017022,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023237,           0.0023237,             0.02992
                   8,            0.036156,            0.048521,            0.016555,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001774,            0.001774,            0.020806
                   9,            0.033295,            0.049816,            0.014915,             0.93796,             0.99107,             0.98634,              0.7482,            0.026607,            0.039887,             0.01184,           0.0010344,           0.0010344,            0.011502
                   0,            0.055008,            0.056462,            0.016734,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000848,            0.000848,             0.08615
                   1,             0.04751,            0.055595,            0.014724,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016236,           0.0016236,            0.078581
                   2,             0.04269,            0.053002,            0.014249,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022103,           0.0022103,            0.070823
                   3,            0.041024,             0.05397,            0.014037,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026081,           0.0026081,            0.062876
                   4,            0.040554,            0.055242,            0.014283,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028171,           0.0028171,             0.05474
                   5,            0.039494,            0.053391,            0.013655,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028371,           0.0028371,            0.046415
                   6,            0.042416,            0.051414,             0.01543,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026682,           0.0026682,            0.037902
