   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.48177,                   1,             0.82458,             0.63266,            0.017419,            0.016614,            0.016401,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.51176,                   1,             0.87594,             0.62962,            0.015302,            0.015008,            0.014131,             0.01003,              0.0108,             0.93685,             0.00053,              2.9589,                 0.8,             0.10528,             0.04105,             0.63131,                   1,             0.81433,              1.1724,                 0.2,              3.9936,                   0,             0.01472,             0.55053,             0.50571,                   0,             0.11368,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.71609,             0.71681,             0.64032,             0.50806,            0.013924,            0.013452,            0.013017,             0.00918,             0.01001,             0.93155,             0.00063,              2.9589,              0.6759,             0.10189,             0.03629,             0.50903,             0.88023,             0.73704,              1.1162,                 0.2,               3.295,                   0,              0.0137,             0.59675,             0.49781,                   0,             0.11368,             0.43613,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3036
             0.65641,             0.69095,             0.61854,             0.46953,            0.019615,            0.025156,            0.020231,             0.00866,             0.01058,             0.89019,             0.00038,                   3,             0.66835,                 0.1,             0.05038,             0.44131,                   1,              1.1204,              1.0765,                 0.2,              5.1517,                   0,               0.015,                 0.7,              0.4465,                   0,             0.09926,             0.34016,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.4806
              0.7218,             0.75481,             0.64233,             0.51504,            0.014094,            0.014397,            0.013372,             0.00918,             0.01001,             0.93155,             0.00063,              2.9589,             0.63734,             0.09588,             0.03745,             0.50851,             0.88023,             0.84991,              1.0685,                 0.2,               3.218,                   0,              0.0147,             0.59987,             0.51147,                   0,             0.10351,             0.44874,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.4908
             0.68232,              0.7275,             0.63443,             0.47783,            0.014446,            0.014163,            0.012927,             0.00962,                0.01,             0.90147,             0.00063,              2.5825,             0.75597,             0.10189,             0.03629,             0.50026,             0.85823,             0.74348,              1.0327,                 0.2,              3.0442,                   0,             0.01281,             0.59675,             0.49781,                   0,             0.11779,             0.41722,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               2.551
